Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst,MYR 84K - MYR 96K (Employer est.),Data Analyst,"· Extract, analyze, interpret & identifying pattern in data from various tables
· Managing master data, including creation, updates, and deletion
· Generate reports from single or multiple systems
· Report the results of analysis to the relevant team members
· Supporting initiatives for data integrity and normalization
· Assess the quality of data and filter/clean data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
· Perform initial analysis to work with Project Manager and delivery team to develop Data Management solution",SVI TECHNOLOGIES SDN BHD,3.5,Kuala Lumpur,51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Data Analyst,MYR 36K - MYR 42K (Employer est.),Data Analyst,"data analyst collects and stores data on sales numbers, market research, logistics, linguistics, or other behaviors. They bring technical expertise to ensure the quality and accuracy of that data, then process, design, and present it in ways to help people, businesses, and organizations make better decisions.
Founded in 1999, SG Academy is a dynamic training skills academy with one of the widest ranges of Malaysian Skills Diploma and International Technical Education and Vocational Training Program (INVITE) accreditation among Malaysian private Training establishments. The skills academy operates from 4 branches from the financial capital of Malaysia to the southern peninsula. We train individuals for employment in various industries. Our courses aim to develop students skills and knowledge while also addressing identified needs within industry.
Diploma / Advanced Diploma / Higher Graduate Diploma / DVM / DKM Level 4 / DLKM Level 5",SG AKADEMI (M) SDN BHD,-1,Kuala Lumpur,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Junior Analyst (Business Intelligence / Data),MYR 18K - MYR 30K (Employer est.),Bi Analyst,"We are looking for someone analytical who is to be responsible for gathering business data through many different ways including gathering data through mining a company's computer data, internal departments, and looking against competitor data.
As a Junior Analyst (Business Intelligence / Data) you will be responsible for:
Review and validate products data as it's collected,
Oversee the deployment of data,
Develop policies and procedures for the collection and analysis of data,
Create or discover new data procurement and processing programs,
Cooperate with IT department to deploy software and hardware upgrades that make it possible to leverage big data use cases,",Printlab Marketing Sdn Bhd,-1,Kuala Terengganu,-1,-1,-1,-1,-1,-1
Data Analyst,MYR 42K - MYR 48K (Employer est.),Data Analyst,"Job responsibilities: 1. Provide data support for the needs of the company's operational decision-making, marketing department, sales department, partners, etc. 2. Settle the remuneration for the partners according to the agreement signed. 3. Responsible for departmental routine data statistics, including daily, weekly, monthly, and annual reports. Prepare company performance evaluation report, partner performance evaluation report, etc. 4. Understand business operation logic, use data analysis methods to find bottlenecks to be improved, report to superiors and headquarters in a timely manner, and put forward targeted improvement suggestions 5. Handle customer's request by email and improve customer satisfaction 6. Complete various tasks assigned by the leader Job requirements: 1. Bachelor degree or above, majors in asset management, mathematics, statistics, finance, etc. are preferred 2. Intermediate English and Chinese level or above, can communicate with headquarters in English and communicate with Chinese customers in Chinese fluently; 3. One year or more of financial industry or data analysis related work experience is preferred 4. Proficient in all kinds of Office software, especially EXCEL 5. Have strong logic analysis ability, data sensitivity, rigorous and responsible in work 6. The night shift from 13:00-22:00 is acceptable, usually once every 2-3 months, once a month Benefits: 1. Salary composition: basic salary + night shift subsidy + quarterly bonus; 2. Colorful benefits: social insurance and employment security and public accumulation funds, paid annual leave, holiday gifts, etc.; 3. Enriched training: new employee training, business training, team leader’s teaching, regular sharing; 4. Job development: annual salary increase
GK International is a leading Malaysian-based Business Consulting and Process Outsourcing (BPO) company providing outsourced customer service, telemarketing, sales, support, and next-generation contact center solutions powered by Insights, AI, and cloud solutions. With the ability to cater for diverse verticals with intelligent business operations. We specialize in Contact Center services, Telemarketing services, Appointment setting services & complete Sales Pipeline management. Our Mission is to help our clients to deliver their brand promise consistently and to ensure that your customers remain loyal. We assist in maximizing your customer experience by ensuring the people, processes, and operations consistently maintain a sharp focus on service, quality, and high business performance. We are customer experience practitioners bringing deep global industry expertise and experience at your service. GK International Consulting provides a full range of customer contact services, including customer care, technical support, loyalty management, outbound and inbound sales. Through both human and digital approaches, we help our clients reduce costs, enable scale and drive revenue growth.
Bachelor's or Equivalent",GK International Consulting Sdn Bhd,-1,Kuala Lumpur,-1,-1,-1,-1,-1,-1
DATA ANALYST,MYR 24K - MYR 30K (Employer est.),Data Analyst,"Reset the management objectives including business segmentation and market segment business volume goals that the company and the department are concerned about
Make a reasonable breakthrough and issue of the target, and establish a monitoring system;
Promote the relevant personnel of the market module, conduct an in-depth analysis of the core details that have not been achieved, and output an optimization plan;
Promote the relevant personnel of the sales module to optimize and improve the areas where the target has not been reached;
Responsible for constructing the department's basic database and promoting the report and online data.
Job Type: Full-time",J&T Express - Selangor South,2.8,Petaling Jaya,10000+ Employees,2018,Unknown,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable
Data Analyst/Business Analyst Intern,MYR 14K - MYR 18K (Employer est.),Business Analyst,"Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. TheyÂ might prepare reports in the form of visualisations such as graphs, charts, and dashboards.
KewMann's help organisations to predict and influence human behaviors by using AI, big data analytics and behavioral science. We are the only company to provide both predictive and influencing products/solutions to maximise the end result. We are an enterprise software / SaaS company, targeting large organisations that deals with a lot of people (customers; sellers - internal, agents, distributors etc; employees), with a TAM of 225 millions USD (900 organisations in 9 countries). KewMann have help various institution/organisation to optimise their sales & profit and minimise the loss due to fraud cases/ credit risk & etc with our products & solutions. We have customers in Singapore, Malaysia, Indonesia, Hong Kong and China, including Mastercard Asia Pacific, AIA, NTUC Income, BCA (Indonesia), CyberSecurity Malaysia, etc.
Bachelor's or Equivalent",KEWMANN SDN. BHD.,-1,Kuala Lumpur,-1,-1,-1,-1,-1,-1
Data Analyst,-1,Data Analyst,"Job: Compliance
Primary Location: Asia-Malaysia-Bukit Jalil KL
Schedule: Full-time
Employee Status: Permanent
Posting Date: 06/Aug/2021, 12:39:10 AM
Unposting Date: Ongoing
About Standard Chartered
We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.
To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.
We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.",Standard Chartered,3.9,Kuala Lumpur,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$10 to $25 million (USD)
Data Analyst,-1,Data Analyst,"Extract, analyze, interpret & identifying pattern in data from various tables
Managing master data, including creation, updates, and deletion
Generate reports from single or multiple systems
Report the results of analysis to the relevant team members
Supporting initiatives for data integrity and normalization
Assess the quality of data and filter/clean data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Perform initial analysis to work with Project Manager and delivery team to develop Data Management solution
Experience in database query using SQL",Iscistech Business Solutions Sdn Bhd,2.6,Kuala Lumpur,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
GIS Analyst,MYR 27K (Employer est.),Gis Analyst,"This is a 6-months contract employment which will require the GIS Analyst to do intensive work on GIS data cleansing, digitizing, QA/QC and any related works. You will be based at our office in Seri Kembangan, Selangor.
Responsibilities
Quality check and data cleansing of plantation-related GIS mapping works using Arcmap, Mapinfo and QGIS;
Map stitching works using Pix4D;
Conversion of data to the required formats;
Contributing to the ongoing development of GIS processes and providing innovative solutions to align GIS with business outcomes;",Braintree Technologies Sdn Bhd,-1,Seri Kembangan,-1,-1,-1,-1,-1,-1
Data Analyst,MYR 66K (Employer est.),Data Analyst,"JOB VACANCY
Position : Data Analyst
Nationality : Malaysian
Duration : 12 months contract
Job Description
Required at least 3 years experiences
· Extract, analyze, interpret & identifying pattern in data from various tables
· Managing master data, including creation, updates, and deletion
· Generate reports from single or multiple systems
· Report the results of analysis to the relevant team members
· Supporting initiatives for data integrity and normalization
· Assess the quality of data and filter/clean data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
· Perform initial analysis to work with Project Manager and delivery team to develop Data Management solution
· Experience in database query using SQL
Advanced Excel skills including pivot tables, graphing and general advanced functions",AMK Technology Sdn Bhd,4.2,Kuala Lumpur,201 to 500 Employees,2002,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Science Analyst,MYR 36K - MYR 48K (Employer est.),Data Analyst,"Company Overview
MetaPair is a US-based company backed by A-list investors such as TechStars, Warner and Sony Music. We are opening a Malaysia office and our mission is to democratize brand-partnerships for brands of all sizes and enable independent brands to create partnerships that weren’t previously possible.
*
MetaPair is building an end-to-end AI software that can set up an entire marketing partnership without the need for human intervention. MetaPair is a Techstars company with several industry awards and works with some of the largest brands and entertainment companies in the world. Forbes said that we have “harnessed the often-theoretical AI” with our AI-powered agency. Below are some of the awards MetaPair has received:
Top 50 Startups in Marketing Globally - Unilever & Cannes Lions",Metapair,-1,Kuala Lumpur,-1,-1,-1,-1,-1,-1
Data Analyst,MYR 30K - MYR 42K (Employer est.),Data Analyst,"Job Responsibility:
Supporting wide analytics with the collaboration of other departments to understand business reporting needs and requirements.
Analysing and gather data creating documentation and specification for new data production reports for effective communication related to methodologies of business users.
Oversees and facilitates data information flow of company operations and departments.
Analysing and query data from various environments. Interpreting data and providing analytical commentaries to explain or highlight significant findings.
Designing/building adhoc reports and dashboards through analytics tools, such as Tableau or Microsoft SQL.",myNEWS Retail Sdn Bhd,3.7,Malaysia,1001 to 5000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Science Analyst,MYR 36K - MYR 42K (Employer est.),Data Analyst,"• Designing and maintaining data systems and databases; this includes fixing coding errors and other data-related problems. • Mining data from primary and secondary sources, then reorganizing said data in a format that can be easily read by either human or machine. • Using statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts. • Demonstrating the significance of their work in the context of local, national, and global trends that impact both their organization and industry. • Preparing reports for executive leadership that effectively communicate trends, patterns, and predictions using relevant data. • Collaborating with programmers, engineers, and organizational leaders to identify opportunities for process improvements, recommend system modifications, and develop policies for data governance. • Creating appropriate documentation that allows stakeholders to understand the steps of the data analysis process and duplicate or replicate the analysis if necessary.
We are professional IT solutions and service provider founded in 2008. With more than 10 years of experience, we have helped many customers in refining their IT infrastructure to empower the business. We are also the pioneer in application and desktop virtualization in Malaysia. Our clienteles are across different industries, which include SMB, Enterprises, financial, education, private, and public sectors.
Bachelor's or Equivalent",REFINENETWORKS SDN BHD,-1,Petaling Jaya,-1,-1,-1,-1,-1,-1
Data Analyst,-1,Data Analyst,"Business Analyst experience
Data Quality Management Framework
Documentation – Data Dictionary/Data Modelling/Data Lineage/Business Rules/DQ Rules/ Data Standards
Data analytics and Visualization tools ( Tableau / Hive / Power BI)
SQL query building
Stakeholder Management / Analysis
Presentation Skills – Data Story telling using visualizations
Large-scale projects/programs with significant change impact and multiple dependencies within and across organizational boundaries.",Encora,4.2,Kuala Lumpur,5001 to 10000 Employees,2003,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Fraud Analyst,MYR 30K - MYR 60K (Employer est.),Fraud Analyst,"Pipwave (an online payment fraud prevention solution owned by Dynamic
Podium) is seeking for passionate Fraud Analyst to identify and investigate
online payment transactions that are potentially fraudulent to prevent losses to
the Merchants.
In this important role, you will proactively study emerging fraud trends and
allow pipwave to act in real-time with high caliber decision made with the use
of manual and automated tools to protect our business, merchants, and buyer
from any fraud-related losses.
Responsibilities
Review Merchants online payment transactions
Review Merchant's customer document ID and marketplace seller document ID",Gamer2Gamer Sdn Bhd,-1,Kuala Lumpur,-1,-1,-1,-1,-1,-1
Master Data Management Product Analyst,-1,Data Manager,"Company Description

About Experian
Experian is the world’s leading global information services company. During life’s big moments — from buying a home or a car to sending a child to college to growing a business by connecting with new customers — we empower consumers and our clients to manage their data with confidence. We help individuals to take financial control and access financial services, businesses to make smarter decisions and thrive, lenders to lend more responsibly, and organizations to prevent identity fraud and crime.

We have 17,800 people operating across 44 countries, and every day we’re investing in new technologies, talented people and innovation to help all our clients maximize every opportunity. We are listed on the London Stock Exchange (EXPN) and are a constituent of the FTSE 100 Index.",Experian,4.3,Cyberjaya,10000+ Employees,1980,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD)
Data Analyst,MYR 30K - MYR 36K (Employer est.),Data Analyst,"• To gather and understand customers objectives, processes and products in order to make recommendations. • Act as main support to internal business units and external parties for the in-charge Product. Serve as an escalation point for customer concerns if/when they arise. • Coordinate and communicate with developer and designer on requirements and system implementation. • Developing and maintaining up-to-date and complete requirements documentation. • Any additional/ad-hoc task as assigned by immediate superior. • Analyze data using statistical techniques and provide reports • Develop and implement databases and data collection systems • Acquiring data from primary and secondary sources and maintain data systems • Identify, analyze, and interpret trends or patterns in complex data sets • Filter and clean data • Work with management to prioritize business and information needs • Locate and define new process improvement opportunities
ODESI ECOB SDN BHD is an ICT company driven by big data and accordance with our vision which is to harness data and compiles it to a Big Data platform. We develop various web and mobile technology solutions as an enabler to harvest, store, and mine data. Our executive team has more than 15 years of experience in software application design and development. We focused especially on developing web and mobile application solutions. Our first web-based property solution was developed in 2012, a completely customized solution for the government in Malaysia. We have brought the property industry to the next level whereby the users can access the application anytime, anywhere with real-time information on-the-go. Today, we have the most comprehensive out-of-box property solution platform running on the latest web technology. It is a complete, fully integrated end-to-end property application solution for the strata and property management industry. We strive to bring the most innovative solution for the property industry and empower the enterprise with the most advanced tools for their business.
Diploma / Advanced Diploma / Higher Graduate Diploma / DVM / DKM Level 4 / DLKM Level 5",ODESI ECOB SDN BHD,-1,Kuala Lumpur,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Valuation and Research Analyst,MYR 24K - MYR 42K (Employer est.),Research Analyst,"We are searching for talented and driven individuals to join our expanding team as Valuation and Research Analyst. We welcome applicants looking to grow and enhance their careers in tandem with professional development in property valuation advisory, consultancy and research with Zerin Properties Corporate Valuers. At Zerin, we pride ourselves in our diverse team, treating each other with respect and valuing each other’s opinion to achieve our common goals.
Job Description
Undertake valuation and consultancy assignments for corporate clients
Perform market and feasibility studies in all key asset classes
Conduct market research and analysis on various property sectors",Zerin Properties Urus Harta Sdn Bhd,-1,Kuala Lumpur,-1,-1,-1,-1,-1,-1
Consulting Analyst Program - MY,-1,Consultant,"Consulting Analyst Program - MY
Date: 09-Aug-2021
Service Line / Portfolios:
Location: Kuala Lumpur, MY
At Deloitte, we offer a unique and exceptional career experience to inspire and empower talent like you to make an impact that matters for our clients, people and community. Deloitte offers you a highly inclusive, collaborative workplace and unrivalled opportunities to realize your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.

Work you will do",Deloitte,3.9,Kuala Lumpur,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Analyst,-1,Data Analyst,"""Why did sales in Japan dip last week?""
""Why did traffic spike in August?""
“Which model showed growth in demand?”
“How much has each market grown over the last year?”
“Which acquisition channel provides the best ROI?”
These are just some of the hard-hitting questions we have for you.

Comfort Works is seeking a Data Analyst to help us answer some of the burning questions we have. To do that, you’ll need to be able to maneuver through our dashboards to identify trends and patterns. You’ll be involved in leading conversations about our business “gray” areas with data-driven insights. The right candidate will need to come packed with a strong sense of analysis, business acumen, and whole lotta love for digging through mounds of data.

What you’ll be doing:",Comfort Works,4.6,Kuala Lumpur,51 to 200 Employees,2010,Subsidiary or Business Segment,Home Furniture & Housewares Stores,Retail,Unknown / Non-Applicable
Data Analyst,-1,Data Analyst,"Business Analyst experience
Data Quality Management Framework
Documentation â€“ Data Dictionary/Data Modelling/Data Lineage/Business Rules/DQ Rules/ Data Standards
Data analytics and Visualization tools ( Tableau / Hive / Power BI)
SQL query building
Stakeholder Management / Analysis
Presentation Skills â€“ Data Story telling using visualizations
Large-scale projects/programs with significant change impact and multiple dependencies within and across organizational boundaries.",Encora,4.2,Kuala Lumpur,5001 to 10000 Employees,2003,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Analyst,-1,Data Analyst,"Photobook Worldwide is looking for a Data Analyst to manage a wide range of raw data via Tableau, generating reports that will help key stakeholders making important business decisions. This role is involved in assessing the quality of data, scrutinising the accuracy of data and doing additional data screening before presenting the final analysis to the key stakeholders. This role is required to deep dive into data that relates to sales trends, product popularity and customer database.
Key Responsibilities
He/she is the key stakeholder of Tableau who ensures multiple sources of raw data flowing into Tableau accurately
Migrating the remaining critical marketing & sales data that are now stored in Google spreadsheet to Tableau as a self-serving platform to a larger group of stakeholders
Delivering custom reports for regular business & marketing planning purposes",Photobook UK,-1,Malaysia,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"Analyst 4, Data Analytics (Data Science)",-1,Data Analyst,"Job Description

Advanced Analytics Office (AAO) is looking for an engineer with prior experience in data analytics and electronics/ computer hardware manufacturing industry to expand their team. Selected candidate will work as part of the Solutions Management team, responsible for executing Rapid Learning Cycle (RLC) data science projects.The ideal candidate should have an end-to-end understanding on manufacturing operations, process engineering, test process and a proven track record in deploying Statistical, Machine Learning and Artificial Intelligence solutions in a factory setting. This is a unique opportunity for someone with a desire to excel in a fast-paced, high-tech manufacturing operation and play a critical role in high business impact projects.
Qualifications
Candidate must have at least a Bachelor's Degree in Engineering or Science with ~5 years work experience or a Graduate Degree with ~3 years work experience.

#LI-ET
Additional Information

Western Digital thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.
Western Digital is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.
#LI-ET",Western Digital,3.9,Malaysia,10000+ Employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Analyst / Consultant - Artificial Intelligence & Data -MY,-1,Business Consultant,"Analyst / Consultant - Artificial Intelligence & Data -MY
Date: 13-Aug-2021
Service Line / Portfolios: Strategy, Growth & Innovation
Location: Kuala Lumpur, MY
At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clients, people and community. Deloitte offers you a highly inclusive, collaborative workplace and unrivalled opportunities to realize your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.

Work you will do",Deloitte,3.9,Kuala Lumpur,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
MY - Data Analyst,-1,Data Analyst,"Purpose of Position:
Responsibilities for MI production and providing analysis to Internal and External Clients. Ability to convert Client feedback into proactive action plans and ensure these are delivered to enhance our offering. Assist with preparation of Client related communication including bulletins, presentations, intranet updates and tenders. Work effectively with the Analytics team and the wider Business Services team.
Key Responsibilities:
Review, analyse and assess MI and discuss with Internal & External clients to explore opportunities to improve performance
Can evaluate existing reporting capabilities and identify and implement improvement opportunities.
Produce management information (MI) from various systems for both Internal and External clients

Key Relationships:
Experience/Knowledge Required:
Education/Qualifications:",Crawford & Company,3.7,Kuala Lumpur,5001 to 10000 Employees,1941,Company - Public,Insurance Agencies & Brokerages,Insurance,$1 to $2 billion (USD)
Associate Fraud Analyst,-1,Fraud Analyst,"Senior Fraud Analyst
""There is no love sincerer than the love of food."" - George Bernard Shaw
Do you love food and convenience put together? Then you just might love foodpanda.
foodpanda (small 'f') is the world's favorite way to order food online. With hundreds of restaurants ready to receive orders via our website and mobile app, no one should have to suffer from the lack of variety or long queues to enjoy great food.
Risk Data Science and Analytics teams provide insights and develop machine learning models and strategies to combat payment fraud and marketplace abuse.
About the Role",foodpanda Malaysia,3.7,Kuala Lumpur,1001 to 5000 Employees,2012,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Research Analyst,MYR 42K - MYR 48K (Employer est.),Research Analyst,"The Research Analyst at SEDAR Institute is responsible for the research on political ideas and analysis of government policies, political trends and related issues. The research analyst should be able to study the development of political systems, research various political subjects, collect and analyze data. Requirements: - Demonstrate interest in politics. - Preferably with University degree in Politics, Social Science, Foreign Affairs, History, International Relations, Economics, Law or other with related discipline with experience. - Work experience as a research analyst and portfolio of published articles. - Good command of Bahasa Malaysia, English and Chinese. - Strong written and oral communications skills. - Excellent analytical and critical thinking skills. Responsibility: - Work on a range of research projects, including politics, government policies, social, cultures and economic. - Keeping up to date with political sources released by government agencies, including press releases and reports. - Collect data from various sources such as public opinion surveys and election results. - Employ a variety of different research methodologies, including questionnaires, surveys, and interviews. - Use statistical analysis to interpret research findings. - Evaluate the effects of policies and laws on government, businesses and people. - Forecast political, economic and social trends. - Present research results by writing reports, giving presentations and publishing articles. - Monitor current trends and developments, policy decisions and legislation changes. - Establish contacts and sources to use in future research. - Other duties as directed.
SEDAR Institute is a non-profit and independent organisation seeking to develop ideas and strategies to help building a united, democratic, just, egalitarian, liberal and progressive nation for all Malaysians, transcending the barriers of race and religion. SEDAR Institute, since its inception in 2001, is committed to promote and advance the spirit and principles of the Federal Constitution and Rukun Negara.
Master's or Equivalent",SEDAR RESOURCE CENTRE BERHAD,-1,Cheras,-1,-1,-1,-1,-1,-1
KYC Analyst,-1,Compliance Analyst,"Position: KYC Analyst
The Know Your Client (KYC) Operator is responsible for the delivery and management of new client onboarding, periodic review, client offboarding processes and client maintenance working within agreed policies, procedures, Key Performance and Risk Indicators.
The objectives include implementing a robust control environment that allows and drives efficient and effective processing. The environment should ensure we meet regulatory requirements, Bank’s policy and can verify the completeness and accuracy of all processes. Operations develop and maintain effective relationships across internal client and partner groups.
Your Roles and Responsibilities:",Deutsche Bank,3.9,Kuala Lumpur,10000+ Employees,1870,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
