Job Title,Salary Estimate,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,salary_estimate_split,salary_estimate_hourly,min_salary,max_salary,avg_salary,age,power_bi_yn,tableau_yn,python_yn,sql_yn,excel_yn,machine_learning_yn,job_simp,desc_len
Junior Analyst (Business Intelligence / Data),MYR 18K - MYR 30K (Employer est.),"We are looking for someone analytical who is to be responsible for gathering business data through many different ways including gathering data through mining a company's computer data, internal departments, and looking against competitor data.
As a Junior Analyst (Business Intelligence / Data) you will be responsible for:
Review and validate products data as it's collected,
Oversee the deployment of data,
Develop policies and procedures for the collection and analysis of data,
Create or discover new data procurement and processing programs,
Cooperate with IT department to deploy software and hardware upgrades that make it possible to leverage big data use cases,",Printlab Marketing Sdn Bhd,-1.0,Kuala Terengganu,-1,-1,-1,-1,-1,-1, 18 -  30 ,0,18,30,24.0,-1,0,0,0,0,0,0,junior analyst ,671
Data Analyst,MYR 42K - MYR 48K (Employer est.),"Job responsibilities: 1. Provide data support for the needs of the company's operational decision-making, marketing department, sales department, partners, etc. 2. Settle the remuneration for the partners according to the agreement signed. 3. Responsible for departmental routine data statistics, including daily, weekly, monthly, and annual reports. Prepare company performance evaluation report, partner performance evaluation report, etc. 4. Understand business operation logic, use data analysis methods to find bottlenecks to be improved, report to superiors and headquarters in a timely manner, and put forward targeted improvement suggestions 5. Handle customer's request by email and improve customer satisfaction 6. Complete various tasks assigned by the leader Job requirements: 1. Bachelor degree or above, majors in asset management, mathematics, statistics, finance, etc. are preferred 2. Intermediate English and Chinese level or above, can communicate with headquarters in English and communicate with Chinese customers in Chinese fluently; 3. One year or more of financial industry or data analysis related work experience is preferred 4. Proficient in all kinds of Office software, especially EXCEL 5. Have strong logic analysis ability, data sensitivity, rigorous and responsible in work 6. The night shift from 13:00-22:00 is acceptable, usually once every 2-3 months, once a month Benefits: 1. Salary composition: basic salary + night shift subsidy + quarterly bonus; 2. Colorful benefits: social insurance and employment security and public accumulation funds, paid annual leave, holiday gifts, etc.; 3. Enriched training: new employee training, business training, team leader’s teaching, regular sharing; 4. Job development: annual salary increase
GK International is a leading Malaysian-based Business Consulting and Process Outsourcing (BPO) company providing outsourced customer service, telemarketing, sales, support, and next-generation contact center solutions powered by Insights, AI, and cloud solutions. With the ability to cater for diverse verticals with intelligent business operations. We specialize in Contact Center services, Telemarketing services, Appointment setting services & complete Sales Pipeline management. Our Mission is to help our clients to deliver their brand promise consistently and to ensure that your customers remain loyal. We assist in maximizing your customer experience by ensuring the people, processes, and operations consistently maintain a sharp focus on service, quality, and high business performance. We are customer experience practitioners bringing deep global industry expertise and experience at your service. GK International Consulting provides a full range of customer contact services, including customer care, technical support, loyalty management, outbound and inbound sales. Through both human and digital approaches, we help our clients reduce costs, enable scale and drive revenue growth.
Bachelor's or Equivalent",GK International Consulting Sdn Bhd,-1.0,Kuala Lumpur,-1,-1,-1,-1,-1,-1, 42 -  48 ,0,42,48,45.0,-1,0,0,0,0,1,0,data analyst,2993
DATA ANALYST,MYR 24K - MYR 30K (Employer est.),"Reset the management objectives including business segmentation and market segment business volume goals that the company and the department are concerned about
Make a reasonable breakthrough and issue of the target, and establish a monitoring system;
Promote the relevant personnel of the market module, conduct an in-depth analysis of the core details that have not been achieved, and output an optimization plan;
Promote the relevant personnel of the sales module to optimize and improve the areas where the target has not been reached;
Responsible for constructing the department's basic database and promoting the report and online data.
Job Type: Full-time",J&T Express - Selangor South,2.8,Petaling Jaya,10000+ Employees,2018,Unknown,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable, 24 -  30 ,0,24,30,27.0,2,0,0,0,0,0,0,data analyst,662
Data Analyst/Business Analyst Intern,MYR 14K - MYR 18K (Employer est.),"Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. TheyÂ might prepare reports in the form of visualisations such as graphs, charts, and dashboards.
KewMann's help organisations to predict and influence human behaviors by using AI, big data analytics and behavioral science. We are the only company to provide both predictive and influencing products/solutions to maximise the end result. We are an enterprise software / SaaS company, targeting large organisations that deals with a lot of people (customers; sellers - internal, agents, distributors etc; employees), with a TAM of 225 millions USD (900 organisations in 9 countries). KewMann have help various institution/organisation to optimise their sales & profit and minimise the loss due to fraud cases/ credit risk & etc with our products & solutions. We have customers in Singapore, Malaysia, Indonesia, Hong Kong and China, including Mastercard Asia Pacific, AIA, NTUC Income, BCA (Indonesia), CyberSecurity Malaysia, etc.
Bachelor's or Equivalent",KEWMANN SDN. BHD.,-1.0,Kuala Lumpur,-1,-1,-1,-1,-1,-1, 14 -  18 ,0,14,18,16.0,-1,0,0,0,0,0,0,data analyst,1296
GIS Analyst,MYR 27K (Employer est.),"This is a 6-months contract employment which will require the GIS Analyst to do intensive work on GIS data cleansing, digitizing, QA/QC and any related works. You will be based at our office in Seri Kembangan, Selangor.
Responsibilities
Quality check and data cleansing of plantation-related GIS mapping works using Arcmap, Mapinfo and QGIS;
Map stitching works using Pix4D;
Conversion of data to the required formats;
Contributing to the ongoing development of GIS processes and providing innovative solutions to align GIS with business outcomes;",Braintree Technologies Sdn Bhd,-1.0,Seri Kembangan,-1,-1,-1,-1,-1,-1, 27 ,0,27,27,27.0,-1,0,0,0,0,0,0,gis analyst,547
Data Analyst,MYR 66K (Employer est.),"JOB VACANCY
Position : Data Analyst
Nationality : Malaysian
Duration : 12 months contract
Job Description
Required at least 3 years experiences
· Extract, analyze, interpret & identifying pattern in data from various tables
· Managing master data, including creation, updates, and deletion
· Generate reports from single or multiple systems
· Report the results of analysis to the relevant team members
· Supporting initiatives for data integrity and normalization
· Assess the quality of data and filter/clean data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
· Perform initial analysis to work with Project Manager and delivery team to develop Data Management solution
· Experience in database query using SQL
Advanced Excel skills including pivot tables, graphing and general advanced functions",AMK Technology Sdn Bhd,4.2,Kuala Lumpur,201 to 500 Employees,2002,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable, 66 ,0,66,66,66.0,18,0,0,0,1,1,0,data analyst,857
Data Science Analyst,MYR 36K - MYR 48K (Employer est.),"Company Overview
MetaPair is a US-based company backed by A-list investors such as TechStars, Warner and Sony Music. We are opening a Malaysia office and our mission is to democratize brand-partnerships for brands of all sizes and enable independent brands to create partnerships that weren’t previously possible.
*
MetaPair is building an end-to-end AI software that can set up an entire marketing partnership without the need for human intervention. MetaPair is a Techstars company with several industry awards and works with some of the largest brands and entertainment companies in the world. Forbes said that we have “harnessed the often-theoretical AI” with our AI-powered agency. Below are some of the awards MetaPair has received:
Top 50 Startups in Marketing Globally - Unilever & Cannes Lions",Metapair,-1.0,Kuala Lumpur,-1,-1,-1,-1,-1,-1, 36 -  48 ,0,36,48,42.0,-1,0,0,0,0,0,0,data science analyst,802
Data Analyst,MYR 30K - MYR 42K (Employer est.),"Job Responsibility:
Supporting wide analytics with the collaboration of other departments to understand business reporting needs and requirements.
Analysing and gather data creating documentation and specification for new data production reports for effective communication related to methodologies of business users.
Oversees and facilitates data information flow of company operations and departments.
Analysing and query data from various environments. Interpreting data and providing analytical commentaries to explain or highlight significant findings.
Designing/building adhoc reports and dashboards through analytics tools, such as Tableau or Microsoft SQL.",myNEWS Retail Sdn Bhd,3.7,Malaysia,1001 to 5000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable, 30 -  42 ,0,30,42,36.0,-1,0,1,0,1,0,0,data analyst,664
Data Science Analyst,MYR 36K - MYR 42K (Employer est.),"• Designing and maintaining data systems and databases; this includes fixing coding errors and other data-related problems. • Mining data from primary and secondary sources, then reorganizing said data in a format that can be easily read by either human or machine. • Using statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts. • Demonstrating the significance of their work in the context of local, national, and global trends that impact both their organization and industry. • Preparing reports for executive leadership that effectively communicate trends, patterns, and predictions using relevant data. • Collaborating with programmers, engineers, and organizational leaders to identify opportunities for process improvements, recommend system modifications, and develop policies for data governance. • Creating appropriate documentation that allows stakeholders to understand the steps of the data analysis process and duplicate or replicate the analysis if necessary.
We are professional IT solutions and service provider founded in 2008. With more than 10 years of experience, we have helped many customers in refining their IT infrastructure to empower the business. We are also the pioneer in application and desktop virtualization in Malaysia. Our clienteles are across different industries, which include SMB, Enterprises, financial, education, private, and public sectors.
Bachelor's or Equivalent",REFINENETWORKS SDN BHD,-1.0,Petaling Jaya,-1,-1,-1,-1,-1,-1, 36 -  42 ,0,36,42,39.0,-1,0,0,0,0,0,0,data science analyst,1520
Fraud Analyst,MYR 30K - MYR 60K (Employer est.),"Pipwave (an online payment fraud prevention solution owned by Dynamic
Podium) is seeking for passionate Fraud Analyst to identify and investigate
online payment transactions that are potentially fraudulent to prevent losses to
the Merchants.
In this important role, you will proactively study emerging fraud trends and
allow pipwave to act in real-time with high caliber decision made with the use
of manual and automated tools to protect our business, merchants, and buyer
from any fraud-related losses.
Responsibilities
Review Merchants online payment transactions
Review Merchant's customer document ID and marketplace seller document ID",Gamer2Gamer Sdn Bhd,-1.0,Kuala Lumpur,-1,-1,-1,-1,-1,-1, 30 -  60 ,0,30,60,45.0,-1,0,0,0,0,0,0,fraud analyst,640
Data Analyst,MYR 30K - MYR 36K (Employer est.),"• To gather and understand customers objectives, processes and products in order to make recommendations. • Act as main support to internal business units and external parties for the in-charge Product. Serve as an escalation point for customer concerns if/when they arise. • Coordinate and communicate with developer and designer on requirements and system implementation. • Developing and maintaining up-to-date and complete requirements documentation. • Any additional/ad-hoc task as assigned by immediate superior. • Analyze data using statistical techniques and provide reports • Develop and implement databases and data collection systems • Acquiring data from primary and secondary sources and maintain data systems • Identify, analyze, and interpret trends or patterns in complex data sets • Filter and clean data • Work with management to prioritize business and information needs • Locate and define new process improvement opportunities
ODESI ECOB SDN BHD is an ICT company driven by big data and accordance with our vision which is to harness data and compiles it to a Big Data platform. We develop various web and mobile technology solutions as an enabler to harvest, store, and mine data. Our executive team has more than 15 years of experience in software application design and development. We focused especially on developing web and mobile application solutions. Our first web-based property solution was developed in 2012, a completely customized solution for the government in Malaysia. We have brought the property industry to the next level whereby the users can access the application anytime, anywhere with real-time information on-the-go. Today, we have the most comprehensive out-of-box property solution platform running on the latest web technology. It is a complete, fully integrated end-to-end property application solution for the strata and property management industry. We strive to bring the most innovative solution for the property industry and empower the enterprise with the most advanced tools for their business.
Diploma / Advanced Diploma / Higher Graduate Diploma / DVM / DKM Level 4 / DLKM Level 5",ODESI ECOB SDN BHD,-1.0,Kuala Lumpur,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable, 30 -  36 ,0,30,36,33.0,-1,0,0,0,0,0,0,data analyst,2140
Valuation and Research Analyst,MYR 24K - MYR 42K (Employer est.),"We are searching for talented and driven individuals to join our expanding team as Valuation and Research Analyst. We welcome applicants looking to grow and enhance their careers in tandem with professional development in property valuation advisory, consultancy and research with Zerin Properties Corporate Valuers. At Zerin, we pride ourselves in our diverse team, treating each other with respect and valuing each other’s opinion to achieve our common goals.
Job Description
Undertake valuation and consultancy assignments for corporate clients
Perform market and feasibility studies in all key asset classes
Conduct market research and analysis on various property sectors",Zerin Properties Urus Harta Sdn Bhd,-1.0,Kuala Lumpur,-1,-1,-1,-1,-1,-1, 24 -  42 ,0,24,42,33.0,-1,0,0,0,0,0,0,valuation and research analyst,676
Research Analyst,MYR 42K - MYR 48K (Employer est.),"The Research Analyst at SEDAR Institute is responsible for the research on political ideas and analysis of government policies, political trends and related issues. The research analyst should be able to study the development of political systems, research various political subjects, collect and analyze data. Requirements: - Demonstrate interest in politics. - Preferably with University degree in Politics, Social Science, Foreign Affairs, History, International Relations, Economics, Law or other with related discipline with experience. - Work experience as a research analyst and portfolio of published articles. - Good command of Bahasa Malaysia, English and Chinese. - Strong written and oral communications skills. - Excellent analytical and critical thinking skills. Responsibility: - Work on a range of research projects, including politics, government policies, social, cultures and economic. - Keeping up to date with political sources released by government agencies, including press releases and reports. - Collect data from various sources such as public opinion surveys and election results. - Employ a variety of different research methodologies, including questionnaires, surveys, and interviews. - Use statistical analysis to interpret research findings. - Evaluate the effects of policies and laws on government, businesses and people. - Forecast political, economic and social trends. - Present research results by writing reports, giving presentations and publishing articles. - Monitor current trends and developments, policy decisions and legislation changes. - Establish contacts and sources to use in future research. - Other duties as directed.
SEDAR Institute is a non-profit and independent organisation seeking to develop ideas and strategies to help building a united, democratic, just, egalitarian, liberal and progressive nation for all Malaysians, transcending the barriers of race and religion. SEDAR Institute, since its inception in 2001, is committed to promote and advance the spirit and principles of the Federal Constitution and Rukun Negara.
Master's or Equivalent",SEDAR RESOURCE CENTRE BERHAD,-1.0,Cheras,-1,-1,-1,-1,-1,-1, 42 -  48 ,0,42,48,45.0,-1,0,0,0,0,1,0,research analyst,2107
Workforce Management Analyst,MYR 41K - MYR 58K (Employer est.),"About the Opportunity:
Job Title : Workforce Management (WFM) Analyst
Years Of Experience : 3+ Years
Job Location : Damansara Heights, Kuala Lumpur
Job Type : Permanent with client
Working hours : US followed
Job scope:
· Analyze past volume and staffing patterns, using historical and forecasted data, to ensure that SLAs are met.",Abhidi Solution,-1.0,Kuala Lumpur,-1,-1,-1,-1,-1,-1, 41 -  58 ,0,41,58,49.5,-1,0,0,0,0,0,0,workforce management analyst,331
Business Intelligence & Data Analyst,MYR 72K - MYR 96K (Employer est.),"Overview of Role The BI & Data Analyst is responsible for the successful delivery, design and support of high visibility desktop reports, mobile reports, and dashboards. As a BI Engineer you will leverage BI applications (including Phocus and Power BI) in accordance with application development standards and best practices. You will work closely with Department heads, SMEs, and Systems engineers from wireframe development to post deployment support. This role will perform data analytics including extracting, restructuring, and cleansing data and assist in solution design efforts including analysis, design and architecture for data and reporting structures. The role will also be responsible for incident management within your area of expertise and providing proper feedback to end-users regarding reporting system status and/or errors. Core Responsibilities translates business needs into technical specifications to deliver customized reporting systems. Accountable for end-to-end development and support of Polyaire’s BI reporting environments for ongoing metrics, reports, dashboards, etc. Creates data visualizations that illustrate data learnings and insights in an understandable and user-friendly manner through UI/UX design. Adopts and adapts to newly approved technologies, programming languages, tools, and standards for business intelligence. Collaborates to ensure application designs utilise appropriate patterns and standards. Creates and refines user manuals for each reporting application/visualisation. Documents BI application specifications and produces operational support manuals. Identifies and interprets trends, patterns, and correlations among various data points. Assesses functional and non-functional requirements and creates designs to meet both business and technical needs. Designs, builds, and maintains automated reporting, dashboards, and analysis to enable teams to self-service data needs. Assists in defining technical requirements such as tool or platform selection criteria for the reporting environments. Assists in solution design efforts (i.e., analysis, data warehouse design, architecture) and understands the data warehouse or data lakes implementation related to BI. Identifies, designs, and implements internal process improvements: automating manual processes, optimizing BI capabilities. Identifies ways to improve data reliability, efficiency and quality of data management required for building BI applications and reports. Communicates technical concepts to non-technical audiences both in written and verbal form. Engages with other business units and customer environments to extract, restructure, and cleanse data. Skills and Competencies 2+ years’ experience working with BI technologies and tools like Microsoft Power BI, Phocas, Tableau etc. 2+ years’ BI related experience using ETL, Data warehousing management, Data Mining, Report Designer, or development; ability to write complex SQL queries against a variety of data sources. 3+ years’ heterogeneous database management systems experience for example: MS SQL, MySQL etc. and working knowledge with various data sources like flat files (csv, delimited), Web API, XML. Proven ability to build consensus between teams with differing architecture and design viewpoints and perspectives. Good understanding of data and query optimization, query profiling, and query performance monitoring tools and techniques. Experience implementing solutions on multiple platforms. Must be self-motivated, responsible, conscientious, and detail oriented. Proven ability to follow priorities and timelines. Must have strong analytical and problem-solving skills. Able to work in a fast-paced agile development environment. Experience Highly desirables: Microsoft Power BI certifications. Epicor or similar ERP experience Experience delivering reporting design, visualizations, and solutions through agile software development methodologies. Excellent verbal and written communication skills. Qualifications BS in Computer Science, Engineering, or equivalent software/services experience.
Airdroitech is the result of Polyaire's many success stories. Being the market leader for more than 3 decades, Polyaire now extends its research and development arm into Malaysia. Airdroitech joins the list of Polyaire's collaborators . Working together with a team of exceptional engineers, Airdroitech aims to play a part in developing talents in this fast paced industry while continuously achieving and exceeding its goals in delivering exceptional solutions in SmartHomes, IoT etc
Bachelor's or Equivalent",Airdroitech Sdn Bhd,-1.0,Petaling Jaya,-1,-1,-1,-1,-1,-1, 72 -  96 ,0,72,96,84.0,-1,1,1,0,1,1,0,business intelligence ,4601
Data Analyst,MYR 30K - MYR 36K (Employer est.),"We are looking for a Data Analyst who will help Vettons to analyse the data to provide solutions related to our business strategies and automate our processes. Your primary focus will be conducting assessments and risk analysis on a regular basis. You will be responsible for preparing complex reports and gathering intelligence data to make informed conclusions on business practices and will be presenting your findings and progress to the key persons from the departments in Vettons. Responsibilities: Compiling and analysing large amounts of data from several sources; Analysing and use conceptual thinking skills with attention to details; Exploring data to solve business problems (taking a large, complex problem and breaking it down into components, involve others as needed, drive resolution); Communicate with business stakeholders as well as development teams; The individual is responsible to evaluate and associate the business KPIs improvement as the result delivered by the predictive models The individual will be responsible for identifying analytics use cases and work with the data engineering and data scientist team to generate the insightful information. The individual will be responsible to communicate with the client and must be able to present the insightful story to the client using the most humanly understandable language and jargon. The individual will need to recommend an action plan based on the data driven insights and perform regular health checks with clients to measure the adoption rate on data analytics projects. The individual will also need to drive statistical analysis projects from beginning to end, and have working experience with regression, factor analysis, building models and predictive analytics. Have a deep understanding of large data, our data structures, and how to manipulate our data in an efficient manner. Requirements & Skills Bachelor Degree in Computer Engineering, Mathematical Engineering, Information Systems or related field. Preferably with experience in multiple BI technology or business domains and experience in BA role would be an asset. A strong knowledge of data analysis with experience. Technical skills (e.g.) around SQL and any of BI technologies (Tableau, SAP BO, Spotfire, etc.); Knowledge of ETL. Understanding business processes and system processes to make recommendations and propose BI solutions. Ability to interact with the business stakeholders and product backlog owners to understand their requirements. Ability to effectively present information to various groups of recipients.
The future of eCommerce has arrived Introducing Vettons, a game-changing innovator in the retail and eCommerce space. We’re setting the standard for a better and more seamless online shopping experience using the latest technologies of today. 100% Quality Assured No more worrying about 3rd party merchants with low quality or fake, faulty products. We’re partnered directly with your favourite brands and only take on certified merchants that sell top-of-the-line merchandise. Automated Lowest Prices Instead of scrolling through multiple pages of the same item, we automatically source and display the lowest prices for your convenience. Fastest Delivery We use geolocation technology to provide shoppers with fast and reliable delivery. Get your purchases delivered on the same day or within 24 hours!
Bachelor's or Equivalent",Vettons Sdn Bhd,3.4,Kuala Lumpur,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable, 30 -  36 ,0,30,36,33.0,-1,0,1,0,1,0,0,data analyst,3403
Data Analyst,MYR 42K - MYR 48K (Employer est.),"1. Interpret data, analyze results using statistical techniques and provide ongoing reports. 2. Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality. 3. Acquire data from primary or secondary data sources from Operation Department or Marketing. 4. Maintain databases/data systems for the organization and liaise with Account Department. 5. Identify, analyze, and interpret trends or patterns in complex data sets provided by the departments involved. 6. Filter, segmentize and replenish @ clean data to allow better audience target in future. 7. Work with management to prioritize business and information needs. 8. Locate and define new process improvement opportunities. 9. Present findings to the management whenever needed. 10. Troubleshooting the reporting database environment and reports. 11. Evaluating changes and updates to source production systems. 12. Training end-users on new reports and dashboards. 13. Providing technical expertise in data storage structures, data mining, and data cleansing.
MyFundAction is a registered and one of the very active NGOs which focuses on youth development in 3 aspects; Volunteerism , Entrepreneurship and Academic Excellence OUR VISION To become the best foundation that is able to nurture holistic global leaders. OUR MISSION Developing young muslim leaders by nurturing entrepreneurial mindset in order to provide the best solution for mankind through Islamic values.
Bachelor's or Equivalent",MyFundAction (Yayasan Kebajikan Muslim),-1.0,Shah Alam,-1,-1,-1,-1,-1,-1, 42 -  48 ,0,42,48,45.0,-1,0,0,0,0,1,0,data analyst,1535
Operation Data Analyst (Courier),MYR 60K - MYR 72K (Employer est.),"Job Description
The required role is within a growing E-Commerce last mile delivery service provider.
Job Purpose:
Manage, train, plan, guide, monitor, analyze, and review of all operations resources to ensure timely and efficient management of pickups and deliveries of shipments and internal hub operations.
Job Description:
Supervise dispatchers, hub operations team, customer service, coordinators & couriers to ensure that every shipment is picked and delivered within SLA.
Compile WoW and MoM report for dispatchers, hub operations team performance.",Pgeon Express Sdn. Bhd.,-1.0,Kampong Puchong,-1,-1,-1,-1,-1,-1, 60 -  72 ,0,60,72,66.0,-1,0,0,0,0,0,0,operation data analyst ,555
Jr. Business Analyst,MYR 34K (Employer est.),"We are in search for a junior level Business Analyst to join our Team. Primary role is to work with clients as well as we the software team on all related Software Development.
The role will require the ability to analyze, interpret and understand processes and works flows of business and systematically and efficiently disseminate this information over orally or via documents that can include process flow diagrams or templates. The Job allows for flexible work timing with the primary target of achieving delivery dates and objectives.
Skill Set Summary required is as follows:
* Studying solutions to increase work efficiency
Interpreting data about business policies and workflows
Supporting project teams during the analysis and planning stages of software development",Bytespace Sdn Bhd,3.5,Petaling Jaya,201 to 500 Employees,-1,Company - Public,-1,-1,$100 to $500 million (USD), 34 ,0,34,34,34.0,-1,0,0,0,0,0,0,jr. business analyst,775
